epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,802.637,1.49132,0.60254,0.00451,0.89017,0.80441,0.86889,0.49788,1.69901,0.67358,0.00614,0.000891345,0.000891345,0.000891345
96,811.25,1.47117,0.61715,0.00445,0.89596,0.79063,0.87282,0.50257,1.67427,0.6752,0.00581,0.000883093,0.000883093,0.000883093
97,819.971,1.46818,0.60449,0.00452,0.89467,0.77686,0.85224,0.50331,1.6851,0.69816,0.00592,0.000874842,0.000874842,0.000874842
98,828.826,1.46777,0.60335,0.0049,0.88463,0.76584,0.84972,0.49472,1.70439,0.71038,0.00604,0.00086659,0.00086659,0.00086659
99,837.582,1.4762,0.57818,0.00465,0.86149,0.81267,0.86788,0.50318,1.67518,0.69718,0.00588,0.000858338,0.000858338,0.000858338
100,845.776,1.47834,0.58947,0.00435,0.85458,0.80716,0.86912,0.49972,1.68097,0.6997,0.00588,0.000850087,0.000850087,0.000850087
101,854.572,1.54432,0.61145,0.00433,0.87857,0.79727,0.86374,0.501,1.67032,0.68456,0.00582,0.000841835,0.000841835,0.000841835
102,863.309,1.50742,0.60704,0.00434,0.88388,0.7989,0.86505,0.49948,1.69004,0.67752,0.006,0.000833583,0.000833583,0.000833583
103,871.627,1.46757,0.60089,0.00451,0.88253,0.7989,0.86472,0.50236,1.69771,0.66712,0.00602,0.000825332,0.000825332,0.000825332
104,880.671,1.49782,0.59371,0.00482,0.91077,0.78736,0.86831,0.49652,1.70064,0.67631,0.00604,0.00081708,0.00081708,0.00081708
105,889.649,1.4888,0.59269,0.00431,0.90043,0.80165,0.87749,0.50231,1.67602,0.70091,0.00589,0.000808828,0.000808828,0.000808828
106,897.999,1.50296,0.59754,0.00443,0.89215,0.79763,0.875,0.49948,1.68172,0.69977,0.00595,0.000800577,0.000800577,0.000800577
107,907,1.45484,0.59859,0.00455,0.8773,0.80761,0.87104,0.50433,1.68225,0.69822,0.00591,0.000792325,0.000792325,0.000792325
108,915.665,1.43266,0.57173,0.00451,0.88973,0.80165,0.85864,0.49753,1.6856,0.7007,0.00592,0.000784073,0.000784073,0.000784073
109,923.929,1.50111,0.58778,0.0044,0.89492,0.80165,0.86703,0.49356,1.71445,0.70622,0.00622,0.000775822,0.000775822,0.000775822
110,932.67,1.43291,0.57284,0.00442,0.89573,0.79614,0.86854,0.50468,1.67785,0.70215,0.00595,0.00076757,0.00076757,0.00076757
111,941.51,1.47767,0.57328,0.00451,0.88419,0.7741,0.85307,0.49952,1.66728,0.70503,0.0059,0.000759318,0.000759318,0.000759318
112,949.898,1.45508,0.56491,0.00461,0.84596,0.81694,0.85338,0.49638,1.68866,0.72224,0.00605,0.000751067,0.000751067,0.000751067
113,958.848,1.52324,0.608,0.00438,0.8624,0.82877,0.87159,0.49922,1.6818,0.7134,0.00587,0.000742815,0.000742815,0.000742815
114,967.821,1.43757,0.55768,0.00433,0.86589,0.8004,0.85501,0.49614,1.67472,0.71107,0.00588,0.000734564,0.000734564,0.000734564
115,976.24,1.5006,0.58872,0.00454,0.85663,0.80656,0.85135,0.49559,1.68275,0.69844,0.00593,0.000726312,0.000726312,0.000726312
116,984.662,1.4432,0.56505,0.0044,0.87521,0.81543,0.86403,0.50386,1.67259,0.6987,0.00591,0.00071806,0.00071806,0.00071806
117,993.545,1.48786,0.58512,0.00458,0.89887,0.80801,0.86554,0.50375,1.66437,0.69027,0.00597,0.000709809,0.000709809,0.000709809
118,1002.16,1.50021,0.58028,0.00437,0.88841,0.80165,0.8635,0.5052,1.66068,0.69561,0.00586,0.000701557,0.000701557,0.000701557
119,1010.58,1.44388,0.54634,0.00439,0.90902,0.78788,0.86419,0.50997,1.66432,0.69324,0.00585,0.000693305,0.000693305,0.000693305
120,1019.67,1.39581,0.5319,0.00434,0.87939,0.80345,0.86741,0.50497,1.6715,0.67196,0.00595,0.000685054,0.000685054,0.000685054
121,1028.15,1.49484,0.57019,0.0045,0.89662,0.7989,0.87213,0.50308,1.68848,0.65903,0.00601,0.000676802,0.000676802,0.000676802
122,1036.62,1.40568,0.53051,0.00441,0.88639,0.79614,0.85768,0.49143,1.694,0.65839,0.00602,0.00066855,0.00066855,0.00066855
123,1045.56,1.49035,0.55239,0.00452,0.92317,0.76137,0.85832,0.49111,1.70091,0.66491,0.0062,0.000660299,0.000660299,0.000660299
124,1056.48,1.49268,0.58815,0.00442,0.92548,0.78693,0.8777,0.50655,1.66453,0.64756,0.00592,0.000652047,0.000652047,0.000652047
125,1064.85,1.39631,0.55086,0.00446,0.92414,0.77192,0.86747,0.50859,1.66796,0.65879,0.00599,0.000643795,0.000643795,0.000643795
126,1073.54,1.5425,0.6019,0.00435,0.9049,0.78512,0.87474,0.51523,1.64952,0.64941,0.00581,0.000635544,0.000635544,0.000635544
127,1082.37,1.43571,0.58394,0.00414,0.90493,0.7989,0.88252,0.51288,1.65689,0.64784,0.00576,0.000627292,0.000627292,0.000627292
128,1090.56,1.41969,0.54955,0.00425,0.90033,0.79629,0.87334,0.50605,1.65904,0.66939,0.00578,0.00061904,0.00061904,0.00061904
129,1099.3,1.41581,0.56674,0.00417,0.90081,0.80058,0.87459,0.51144,1.63438,0.6713,0.00572,0.000610789,0.000610789,0.000610789
130,1107.88,1.42545,0.56267,0.00436,0.90108,0.79339,0.87745,0.51037,1.64443,0.66385,0.00582,0.000602537,0.000602537,0.000602537
131,1116.21,1.43148,0.55161,0.00435,0.88423,0.80716,0.86434,0.50434,1.65306,0.67612,0.00584,0.000594286,0.000594286,0.000594286
132,1124.94,1.44387,0.55815,0.0043,0.86273,0.81267,0.86981,0.50578,1.65025,0.68645,0.00582,0.000586034,0.000586034,0.000586034
133,1133.69,1.45748,0.57087,0.00415,0.8814,0.81891,0.87354,0.50372,1.66145,0.70203,0.00586,0.000577782,0.000577782,0.000577782
134,1141.94,1.45838,0.55106,0.00409,0.86423,0.82414,0.87481,0.504,1.66196,0.69497,0.0059,0.000569531,0.000569531,0.000569531
135,1150.48,1.43184,0.55156,0.0042,0.8877,0.80572,0.87353,0.50088,1.66174,0.69223,0.00591,0.000561279,0.000561279,0.000561279
136,1159.06,1.39879,0.5357,0.00413,0.89021,0.80416,0.86673,0.50502,1.65358,0.69424,0.00579,0.000553027,0.000553027,0.000553027
137,1167.14,1.49245,0.58369,0.00432,0.86224,0.81038,0.85567,0.50029,1.65956,0.69424,0.00582,0.000544776,0.000544776,0.000544776
138,1175.99,1.46764,0.55452,0.00439,0.86265,0.80165,0.85797,0.50111,1.65453,0.69239,0.00584,0.000536524,0.000536524,0.000536524
139,1184.73,1.46038,0.57613,0.00405,0.90249,0.80716,0.87936,0.51235,1.64187,0.67972,0.00572,0.000528272,0.000528272,0.000528272
140,1193,1.44006,0.55853,0.00441,0.87298,0.84022,0.88188,0.50679,1.67116,0.68089,0.0058,0.000520021,0.000520021,0.000520021
141,1201.79,1.46244,0.55405,0.00414,0.87676,0.82315,0.87967,0.51039,1.64257,0.68361,0.00571,0.000511769,0.000511769,0.000511769
142,1210.34,1.37389,0.54654,0.00422,0.85806,0.79938,0.85513,0.49873,1.66696,0.69467,0.00591,0.000503517,0.000503517,0.000503517
143,1218.96,1.50386,0.5613,0.0042,0.86344,0.80122,0.84615,0.49933,1.66481,0.71311,0.00595,0.000495266,0.000495266,0.000495266
144,1227.53,1.41262,0.54974,0.00414,0.86887,0.82645,0.85776,0.49784,1.66659,0.72244,0.006,0.000487014,0.000487014,0.000487014
145,1236.43,1.45862,0.54745,0.00415,0.88401,0.8398,0.87345,0.49767,1.68096,0.70954,0.00602,0.000478762,0.000478762,0.000478762
146,1245.06,1.40606,0.52207,0.00425,0.89292,0.82094,0.8831,0.50447,1.64688,0.6952,0.00576,0.000470511,0.000470511,0.000470511
147,1253.56,1.44504,0.52591,0.00402,0.88235,0.82369,0.86967,0.50175,1.65539,0.68834,0.00585,0.000462259,0.000462259,0.000462259
148,1262.44,1.41315,0.54134,0.00419,0.8866,0.81848,0.85759,0.49973,1.68109,0.69331,0.00607,0.000454007,0.000454007,0.000454007
149,1271.09,1.40506,0.52754,0.00411,0.87753,0.83196,0.87029,0.50672,1.64957,0.69317,0.00584,0.000445756,0.000445756,0.000445756
150,1279.38,1.43612,0.55002,0.00402,0.8861,0.8292,0.88095,0.51588,1.64431,0.69427,0.00578,0.000437504,0.000437504,0.000437504
151,1287.95,1.42755,0.54498,0.00407,0.88556,0.83196,0.87981,0.51267,1.64463,0.70725,0.00581,0.000429253,0.000429253,0.000429253
152,1296.76,1.4578,0.56225,0.00382,0.88754,0.82619,0.88009,0.50552,1.64437,0.70498,0.0058,0.000421001,0.000421001,0.000421001
153,1305.14,1.4265,0.55419,0.00416,0.87794,0.80441,0.86975,0.51157,1.64036,0.69633,0.00574,0.000412749,0.000412749,0.000412749
154,1313.9,1.43574,0.55578,0.00418,0.85816,0.82369,0.86496,0.50929,1.64517,0.69066,0.00578,0.000404498,0.000404498,0.000404498
155,1322.73,1.33472,0.53143,0.00427,0.87092,0.80716,0.87335,0.51001,1.65411,0.68881,0.00583,0.000396246,0.000396246,0.000396246
156,1330.84,1.35923,0.54144,0.0041,0.89058,0.8072,0.87584,0.51271,1.64789,0.68989,0.00578,0.000387994,0.000387994,0.000387994
157,1339.59,1.38458,0.55761,0.00381,0.891,0.80716,0.86544,0.50996,1.64622,0.68874,0.00576,0.000379743,0.000379743,0.000379743
158,1348.17,1.45238,0.56063,0.00396,0.88385,0.81818,0.86727,0.50973,1.64971,0.70349,0.00576,0.000371491,0.000371491,0.000371491
159,1356.47,1.44062,0.5609,0.00388,0.87939,0.82354,0.86907,0.51107,1.6499,0.69729,0.00575,0.000363239,0.000363239,0.000363239
160,1365.46,1.39163,0.53911,0.00404,0.89613,0.83183,0.87608,0.51129,1.65684,0.69445,0.00575,0.000354988,0.000354988,0.000354988
161,1374.31,1.38917,0.51626,0.00419,0.87709,0.82568,0.87286,0.50904,1.6636,0.70039,0.00587,0.000346736,0.000346736,0.000346736
162,1382.94,1.45356,0.5374,0.00396,0.8875,0.82587,0.87289,0.5075,1.66696,0.70417,0.00593,0.000338484,0.000338484,0.000338484
163,1391.33,1.4214,0.52751,0.00441,0.8993,0.81184,0.86663,0.50868,1.65081,0.69501,0.00578,0.000330233,0.000330233,0.000330233
164,1400.08,1.40259,0.53724,0.00394,0.88549,0.80949,0.86208,0.50342,1.64631,0.70587,0.00577,0.000321981,0.000321981,0.000321981
165,1408.51,1.38893,0.5379,0.00406,0.88602,0.81374,0.86538,0.50658,1.64945,0.71902,0.00582,0.000313729,0.000313729,0.000313729
166,1417.1,1.35651,0.52777,0.00413,0.87989,0.82645,0.87207,0.50973,1.66331,0.70927,0.00587,0.000305478,0.000305478,0.000305478
167,1425.93,1.41798,0.54841,0.0039,0.87666,0.83196,0.87003,0.51428,1.65239,0.70784,0.00577,0.000297226,0.000297226,0.000297226
168,1434.61,1.44006,0.55053,0.00405,0.87748,0.84298,0.8708,0.51406,1.64764,0.71014,0.00574,0.000288974,0.000288974,0.000288974
169,1443.11,1.3767,0.53648,0.00401,0.87718,0.82636,0.86581,0.50797,1.65522,0.70812,0.00582,0.000280723,0.000280723,0.000280723
170,1451.96,1.37888,0.52768,0.00388,0.8724,0.82871,0.86934,0.50912,1.65445,0.697,0.00584,0.000272471,0.000272471,0.000272471
171,1460.7,1.39133,0.5396,0.0041,0.8826,0.82094,0.87388,0.51396,1.64694,0.68312,0.00581,0.00026422,0.00026422,0.00026422
172,1468.83,1.43028,0.55632,0.00403,0.89067,0.83034,0.88006,0.51775,1.64301,0.67659,0.00578,0.000255968,0.000255968,0.000255968
173,1477.88,1.4251,0.53452,0.00399,0.87327,0.83526,0.88019,0.51656,1.63297,0.66656,0.0057,0.000247716,0.000247716,0.000247716
174,1486.39,1.42022,0.54214,0.00415,0.86376,0.83836,0.88008,0.51454,1.6452,0.65189,0.00576,0.000239465,0.000239465,0.000239465
175,1494.39,1.4168,0.52817,0.00402,0.86766,0.83082,0.87282,0.51167,1.64625,0.65631,0.00579,0.000231213,0.000231213,0.000231213
176,1503.43,1.33376,0.50852,0.00392,0.87993,0.8277,0.87933,0.51376,1.62919,0.6619,0.00573,0.000222961,0.000222961,0.000222961
177,1512.22,1.40606,0.51357,0.00406,0.89379,0.83456,0.88114,0.51775,1.62971,0.65218,0.00567,0.00021471,0.00021471,0.00021471
178,1520.53,1.41871,0.55182,0.00398,0.8961,0.83156,0.88309,0.51875,1.63082,0.65937,0.00568,0.000206458,0.000206458,0.000206458
179,1529.56,1.41234,0.53879,0.00423,0.89343,0.83143,0.88332,0.51603,1.6467,0.66239,0.00579,0.000198206,0.000198206,0.000198206
180,1538.26,1.32451,0.50541,0.00411,0.89389,0.83196,0.88365,0.515,1.65322,0.66673,0.00583,0.000189955,0.000189955,0.000189955
181,1546.14,1.37218,0.53495,0.00391,0.89409,0.83718,0.87626,0.51265,1.6519,0.67048,0.0058,0.000181703,0.000181703,0.000181703
182,1555.07,1.38719,0.51866,0.00409,0.88842,0.83349,0.87481,0.51211,1.64287,0.68255,0.00573,0.000173451,0.000173451,0.000173451
